년도,출자분야,운용사,조합명,만기일,금액,약정액
2017,고급기술인력창업,케이런벤처스,케이런 3호 하이엑스퍼트 투자조합,2025-09-05,15000.0,9000.0
2017,고급기술인력창업,포스코기술투자,포스코 고급기술인력 창업펀드,2025-09-05,25200.0,12000.0
2017,청년창업,에버그린투자파트너스,에버그린투자파트너스 2호 펀드,2025-09-05,20000.0,12000.0
2017,청년창업,세종벤처파트너스,세종 글로벌 청년창업 벤처펀드 2호,2025-09-04,10000.0,6000.0
2017,청년창업,패스파인더에이치,패스파인더 청년창업 투자조합,2025-09-03,15000.0,9000.0
2017,스몰 M&A 매칭,린드먼아시아인베스트먼트,린드먼아시아투자조합12호,2025-08-31,40000.0,20000.0
2017,마이크로VC,심본투자파트너스,심본투자파트너스 1호 투자조합,2025-08-24,17500.0,10500.0
2017,일반,지유투자,지유반도체성장투자조합,2025-08-23,27300.0,500.0
2017,대학창업,연세대학교기술지주,YUTH 대학창업기업 개인투자조합,2025-08-20,3000.0,2250.0
2017,고급기술인력창업,제이엑스파트너스,제이엑스 1호 투자조합,2025-08-13,12500.0,7500.0
2017,고급기술인력창업,세마트랜스링크인베스트먼트,SETI고급기술창업초기투자조합,2025-07-31,18700.0,10500.0
2017,고급기술인력창업,인터밸류파트너스,인터밸류 고급기술인력창업 1호 투자조합,2025-07-11,12500.0,7500.0
2017,일반,서울투자파트너스,서울투자 성장산업 벤처조합,2025-07-02,50000.0,980.0
2017,청년창업,더웰스인베스트먼트,더웰스인베스트먼트 청년창업투자조합,2025-06-25,10000.0,6000.0
2017,일반,에스엘인베스트먼트 ,SLi 퀀텀 성장 펀드,2025-06-21,96000.0,400.0
2017,마이크로VC,비에이파트너스,비에이피제1호첨단기술투자조합,2025-06-08,14000.0,8400.0
2017,콘텐츠기업 재기지원,이수창업투자,ISU-콘텐츠기업재기지원펀드,2025-05-14,14000.0,10000.0
2017,소액투자전문,레오파트너스 인베스트먼트,레오10호 소액투자전문펀드,2025-03-21,15100.0,10000.0
2017,방송드라마,에쓰비인베스트먼트,에쓰비방송콘텐츠투자조합,2025-01-23,13300.0,7800.0
2017,4차 산업혁명,스마일게이트인베스트먼트,2017KIF-스마일게이트싱귤래리티투자조합,2024-12-28,37100.0,15000.0
