회사명,시리즈,유형,공여기관,한도액(억원),약정만료일,평가종류,직전등급,현재등급,평가일,리포트,Type
하나에이치인더홀딩스제일차,,유동성 및 신용공여,하나은행,1500.0,2024.06.04,정기,A- (sf),A- (sf),2020.10.07,S,유동화익스포져
에코드림제일차,,유동성 및 신용공여,교보증권,294.0,2023.09.29,본,A- (sf),A- (sf),2020.09.28,S,유동화익스포져
엠피씨율촌2호기,,유동성공여,신한은행,50.0,2031.03.29,본,A+ (sf),A+ (sf),2020.09.28,S,유동화익스포져
유플러스파이브지제오십삼차유동화전문,,신용공여,국민은행,22.0,2025.05.13,본,,AAA (sf),2020.09.28,S,유동화익스포져
퍼스트파이브지제사십오차유동화전문,,신용공여,국민은행,96.9,2024.02.02,정기,AAA (sf),AAA (sf),2020.09.28,S,유동화익스포져
2020제1차스케일업유동화전문,,신용공여,한국산업은행,1051.5,2023.09.25,본,,A- (sf),2020.09.24,S,유동화익스포져
기가엘티이제삼십구차유동화전문,,신용공여,우리은행,90.6,2022.01.28,정기,AAA (sf),AAA (sf),2020.09.24,S,유동화익스포져
신보2019제1차유동화전문,한국산업은행이 제공하는 신용공여,신용공여,한국산업은행,1074.75,2022.04.08,정기,AAA (sf),AAA (sf),2020.09.21,S,유동화익스포져
신보2020제14차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,2109.566,2023.10.05,수시,AAA (sf),AAA (sf),2020.09.21,S,유동화익스포져
신보2020제16차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1877.6422,2022.10.05,수시,AAA (sf),AAA (sf),2020.09.21,S,유동화익스포져
티월드제오십육차유동화전문,,신용공여,신한은행,120.0,2025.03.29,본,,AAA (sf),2020.09.21,S,유동화익스포져
효성캐피탈제이십구차유동화전문,,신용공여,중소기업은행,200.0,2022.03.29,수시,AAA (sf),AAA (sf),2020.09.21,S,유동화익스포져
신보2020제14차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,2119.086,2023.10.05,본,,AAA (sf),2020.09.17,S,유동화익스포져
신보2020제15차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,4916.47,2023.10.05,본,,AAA (sf),2020.09.17,S,유동화익스포져
신보2020제16차유동화전문,중소기업은행이 제공하는 신용공여,신용공여,중소기업은행,1946.91,2022.10.05,본,,AAA (sf),2020.09.17,S,유동화익스포져
색동이제십구차유동화전문,,신용공여,중소기업은행,1400.0,2021.09.22,수시,BBB (sf)↕,BBB (sf)↓,2020.09.15,S,유동화익스포져
색동이제이십삼차유동화전문,,신용공여,중소기업은행,1000.0,2022.11.09,수시,BBB (sf)↕,BBB (sf)↓,2020.09.15,S,유동화익스포져
우리에이치제이제삼차,,유동성 및 신용공여,우리은행,300.0,2022.04.04,정기,A- (sf),A- (sf),2020.09.15,S,유동화익스포져
효성캐피탈제이십구차유동화전문,,신용공여,중소기업은행,200.0,2022.03.24,본,,AAA (sf),2020.09.15,S,유동화익스포져
리치게이트대명,,유동성 및 신용공여,중소기업은행,400.0,2023.11.02,정기,AAA (sf),AAA (sf),2020.09.14,S,유동화익스포져
티월드제삼십오차유동화전문,,신용공여,신한은행,40.0,2022.10.30,정기,AAA (sf),AAA (sf),2020.09.14,S,유동화익스포져
티월드제삼십육차유동화전문,,신용공여,신한은행,90.0,2022.11.30,정기,AAA (sf),AAA (sf),2020.09.14,S,유동화익스포져
스텔라인천제일차,,유동성 및 신용공여,하나은행,1137.0,2023.08.01,정기,A+ (sf),A+ (sf),2020.09.09,S,유동화익스포져
티월드제이십사차유동화전문,,신용공여,국민은행,30.0,2021.11.30,정기,AAA (sf),AAA (sf),2020.09.07,S,유동화익스포져
티월드제이십삼차유동화전문,,신용공여,국민은행,75.0,2021.10.30,정기,AAA (sf),AAA (sf),2020.09.07,S,유동화익스포져
유플러스엘티이제사십오차유동화전문,,신용공여,하나은행,22.0,2022.12.07,정기,AAA (sf),AAA (sf),2020.09.04,S,유동화익스포져
유플러스엘티이제삼십구차유동화전문,,신용공여,하나은행,33.0,2021.12.07,정기,AAA (sf),AAA (sf),2020.09.04,S,유동화익스포져
퍼스트파이브지제사십사차유동화전문,,신용공여,중소기업은행,88.2,2022.11.30,정기,AAA (sf),AAA (sf),2020.09.01,S,유동화익스포져
퍼스트파이브지제오십이차유동화전문,,신용공여,신한은행,85.2,2025.03.31,본,,AAA (sf),2020.08.21,S,유동화익스포져
티월드제오십오차유동화전문,,신용공여,국민은행,70.0,2024.02.28,본,,AAA (sf),2020.08.20,S,유동화익스포져
엘터미널제이차,,유동성 및 신용공여,중소기업은행,700.0,2023.02.23,정기,AA- (sf),AA- (sf),2020.08.18,S,유동화익스포져
케이비오토제삼차유동화전문,,신용공여,농협은행,100.0,2024.08.27,본,,AAA (sf),2020.08.18,S,유동화익스포져
엘에이치마이홈오차유동화전문,,신용공여,우리은행,325.0,2023.02.25,정기,AAA (sf),AAA (sf),2020.08.14,S,유동화익스포져
하나디스플레이제일차,,유동성 및 신용공여,하나은행,2000.0,2023.03.27,정기,A+ (sf),A+ (sf),2020.08.14,S,유동화익스포져
유플러스엘티이제사십사차유동화전문,,신용공여,국민은행,22.0,2022.10.08,정기,AAA (sf),AAA (sf),2020.08.13,S,유동화익스포져
티월드제삼십사차유동화전문,,신용공여,국민은행,30.0,2022.09.28,정기,AAA (sf),AAA (sf),2020.08.13,S,유동화익스포져
신보2020제13차유동화전문,농협은행이 제공하는 신용공여,신용공여,농협은행,2101.825,2023.08.31,본,,AAA (sf),2020.08.12,S,유동화익스포져
제이비우리캐피탈오토제이십이차유동화전문,,신용공여,국민은행,100.0,2024.08.19,본,,AAA (sf),2020.08.10,S,유동화익스포져
실버에로우코리아이천이십의일유동화전문,,신용공여,농협은행,300.0,2023.02.11,수시,AAA (sf),AAA (sf),2020.08.03,S,유동화익스포져
유플러스파이브지제오십이차유동화전문,,신용공여,신한은행,22.0,2025.03.07,본,,AAA (sf),2020.07.30,S,유동화익스포져
실버에로우코리아이천이십의일유동화전문,,신용공여,농협은행,300.0,2023.02.07,본,,AAA (sf),2020.07.29,S,유동화익스포져
퍼스트파이브지제사십삼차유동화전문,,신용공여,신한은행,115.5,2022.10.07,정기,AAA (sf),AAA (sf),2020.07.23,S,유동화익스포져
티월드제오십사차유동화전문,,신용공여,국민은행,95.0,2024.01.31,본,,AAA (sf),2020.07.22,S,유동화익스포져
기가엘티이제삼십팔차유동화전문,,신용공여,국민은행,96.3,2021.11.30,정기,AAA (sf),AAA (sf),2020.07.21,S,유동화익스포져
우리디스플레이제일차,,유동성 및 신용공여,우리은행,1600.0,2022.07.20,본,,A+ (sf),2020.07.20,S,유동화익스포져
티월드제이십이차유동화전문,,신용공여,신한은행,35.0,2021.09.27,정기,AAA (sf),AAA (sf),2020.07.16,S,유동화익스포져
유플러스엘티이제삼십팔차유동화전문,,신용공여,하나은행,22.0,2021.10.11,정기,AAA (sf),AAA (sf),2020.07.14,S,유동화익스포져
유플러스엘티이제사십삼차유동화전문,,신용공여,신한은행,27.5,2022.08.07,정기,AAA (sf),AAA (sf),2020.07.01,S,유동화익스포져
기가엘티이제삼십칠차유동화전문,,신용공여,신한은행,120.0,2021.10.06,정기,AAA (sf),AAA (sf),2020.06.29,S,유동화익스포져
유플러스엘티이제삼십칠차유동화전문,,신용공여,신한은행,22.0,2021.08.09,정기,AAA (sf),AAA (sf),2020.06.29,S,유동화익스포져
티월드제삼십삼차유동화전문,,신용공여,국민은행,30.0,2022.08.28,정기,AAA (sf),AAA (sf),2020.06.29,S,유동화익스포져
티월드제삼십이차유동화전문,,신용공여,국민은행,45.0,2022.07.31,정기,AAA (sf),AAA (sf),2020.06.29,S,유동화익스포져
퍼스트파이브지제오십일차유동화전문,,신용공여,우리은행,87.3,2025.02.03,본,,AAA (sf),2020.06.23,S,유동화익스포져
