,순위,종목코드,종목명,주식종류,시장구분,주당배당금,시가배당율,액면가배당율,액면가,결산월
1306,1307,29664K,이노룰스1우,우선주,기타비상장,0,0.00,0.00,500,12
1307,1308,30703K,조앤강1우,우선주,기타비상장,400,0.00,400.00,100,12
1308,1309,307030,조앤강,보통주,기타비상장,15,0.00,15.00,100,12
1309,1325,26574K,엔에프씨1우,우선주,기타비상장,100,0.00,100.00,100,12
1310,1326,107870,세일이엔에스보통주,보통주,기타비상장,0,0.00,80.00,"5,000",12
1311,1327,262840,아이퀘스트,보통주,코스닥시장,100,0.00,100.00,100,12
1312,1328,359960,하나트러스트제6호위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"5,000",12
1313,1329,36078K,하나트러스트제5호위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,4.82,"5,000",12
1314,1330,203810,국제16호선박투자회사,보통주,기타비상장,0,0.00,3.69,"5,000",12
1315,1331,32700L,신한알파강남위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,157.10,"1,000",03
1316,1332,335050,신한호텔천안위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"1,000",03
1317,1333,274030,그렉스,보통주,기타비상장,180,0.00,36.00,500,12
1318,1334,096300,한국월드와이드베트남부동산개발특별자산1호투자회사,보통주,유가증권시장,70,0.00,16.67,0,02
1319,1335,00188K,디엘건설1우,우선주,기타비상장,"4,784",0.00,95.68,"5,000",12
1320,1321,30292K,더콘텐츠온1우,우선주,기타비상장,5,0.00,1.00,500,12
1321,1322,29664K,이노룰스1우,우선주,기타비상장,0,0.00,0.00,500,12
1322,1323,30703K,조앤강1우,우선주,기타비상장,400,0.00,400.00,100,12
1323,1324,307030,조앤강,보통주,기타비상장,15,0.00,15.00,100,12
1324,1325,26574K,엔에프씨1우,우선주,기타비상장,100,0.00,100.00,100,12
1325,1341,262840,아이퀘스트,보통주,코스닥시장,100,0.00,100.00,100,12
1326,1342,359960,하나트러스트제6호위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"5,000",12
1327,1343,36078K,하나트러스트제5호위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,4.82,"5,000",12
1328,1344,203810,국제16호선박투자회사,보통주,기타비상장,0,0.00,3.69,"5,000",12
1329,1345,32700L,신한알파강남위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,157.10,"1,000",03
1330,1346,335050,신한호텔천안위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"1,000",03
1331,1347,274030,그렉스,보통주,기타비상장,180,0.00,36.00,500,12
1332,1348,096300,한국월드와이드베트남부동산개발특별자산1호투자회사,보통주,유가증권시장,70,0.00,16.67,0,02
1333,1349,00188K,디엘건설1우,우선주,기타비상장,"4,784",0.00,95.68,"5,000",12
1334,1350,011060,한국씨엔티,보통주,기타비상장,200,0.00,40.00,500,12
1335,1336,29664K,이노룰스1우,우선주,기타비상장,0,0.00,0.00,500,12
1336,1337,30703K,조앤강1우,우선주,기타비상장,400,0.00,400.00,100,12
1337,1338,307030,조앤강,보통주,기타비상장,15,0.00,15.00,100,12
1338,1339,26574K,엔에프씨1우,우선주,기타비상장,100,0.00,100.00,100,12
1339,1355,107870,세일이엔에스보통주,보통주,기타비상장,0,0.00,80.00,"5,000",12
1340,1356,262840,아이퀘스트,보통주,코스닥시장,100,0.00,100.00,100,12
1341,1357,359960,하나트러스트제6호위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"5,000",12
1342,1358,36078K,하나트러스트제5호위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,4.82,"5,000",12
1343,1359,203810,국제16호선박투자회사,보통주,기타비상장,0,0.00,3.69,"5,000",12
1344,1360,32700L,신한알파강남위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,157.10,"1,000",03
1345,1361,335050,신한호텔천안위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"1,000",03
1346,1362,274030,그렉스,보통주,기타비상장,180,0.00,36.00,500,12
1347,1363,096300,한국월드와이드베트남부동산개발특별자산1호투자회사,보통주,유가증권시장,70,0.00,16.67,0,02
1348,1364,00188K,디엘건설1우,우선주,기타비상장,"4,784",0.00,95.68,"5,000",12
1349,1365,011060,한국씨엔티,보통주,기타비상장,200,0.00,40.00,500,12
1350,1351,29664K,이노룰스1우,우선주,기타비상장,0,0.00,0.00,500,12
1351,1352,30703K,조앤강1우,우선주,기타비상장,400,0.00,400.00,100,12
1352,1353,307030,조앤강,보통주,기타비상장,15,0.00,15.00,100,12
1353,1354,26574K,엔에프씨1우,우선주,기타비상장,100,0.00,100.00,100,12
1354,1370,335050,신한호텔천안위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"1,000",03
1355,1371,274030,그렉스,보통주,기타비상장,180,0.00,36.00,500,12
1356,1372,096300,한국월드와이드베트남부동산개발특별자산1호투자회사,보통주,유가증권시장,70,0.00,16.67,0,02
1357,1373,00188K,디엘건설1우,우선주,기타비상장,"4,784",0.00,95.68,"5,000",12
1358,1374,011060,한국씨엔티,보통주,기타비상장,200,0.00,40.00,500,12
1359,1375,058210,실크로드시앤티,보통주,기타비상장,0,0.00,100.00,500,12
1360,1376,060080,제4기한국,보통주,기타비상장,0,0.00,40.00,500,12
1361,1377,073980,교보생명보험,보통주,기타비상장,"1,000",0.00,100.00,"1,000",12
1362,1378,042910,위즈네트,보통주,기타비상장,"1,500",0.00,30.00,"5,000",12
1363,1379,049030,프로랭스,보통주,기타비상장,40,0.00,8.00,500,12
1364,1380,049130,하우리,보통주,프리보드시장,0,0.00,6.00,500,12
1365,1366,359960,하나트러스트제6호위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"5,000",12
1366,1367,36078K,하나트러스트제5호위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,4.82,"5,000",12
1367,1368,203810,국제16호선박투자회사,보통주,기타비상장,0,0.00,3.69,"5,000",12
