기업명,평정,직전등급,현재등급,등급결정일,등급확정일,결산기준,발행한도(억원),유효기간,요지,재무,보고서,Type
한국석유공사,정기,A1,A1,2020.12.11,2020.12.11,2019.12.31,16830,2021.06.30,,,,전자단기사채
한국주택금융공사,정기,A1,A1,2020.12.11,2020.12.11,2019.12.31,12000,2021.06.30,,,,전자단기사채
(주)대원고속((주)신한은행 보증),본,,A1,2020.12.10,2020.12.10,2019.12.31,50,2021.06.30,,,,전자단기사채
비엔케이캐피탈(주),정기,A1,A1,2020.12.09,2020.12.10,2019.12.31,1000,2021.06.30,,,,전자단기사채
우리금융캐피탈(주),정기,A2+↑,A1,2020.12.10,2020.12.10,2019.12.31,3000,2021.06.30,,,,전자단기사채
엔에이치투자증권(주),정기,A1,A1,2020.12.09,2020.12.09,2019.12.31,40000,2021.06.30,,,,전자단기사채
현대커머셜(주),정기,A1,A1,2020.12.09,2020.12.09,2019.12.31,5000,2021.06.30,,,,전자단기사채
(주)BNK투자증권,정기,A2+,A2+,2020.12.07,2020.12.08,2019.12.31,10000,2021.06.30,,,,전자단기사채
한국증권금융(주),정기,A1,A1,2020.12.07,2020.12.08,2019.12.31,20000,2021.06.30,,,,전자단기사채
흥국증권(주),본,,A3,2020.12.07,2020.12.08,2019.12.31,300,2021.06.30,,,,전자단기사채
현대카드(주),정기,A1,A1,2020.12.07,2020.12.07,2019.12.31,15000,2021.06.30,,,,전자단기사채
(주)신세계동대구복합환승센터,정기,A2+,A2+,2020.12.03,2020.12.04,2019.12.31,700,2021.06.30,,,,전자단기사채
한국투자캐피탈(주),정기,A2,A2,2020.12.04,2020.12.04,2019.12.31,2000,2021.06.30,,,,전자단기사채
KB캐피탈(주),정기,A1,A1,2020.12.02,2020.12.02,2019.12.31,2000,2021.06.30,,,,전자단기사채
(주)대우건설,정기,A2-,A2-,2020.11.30,2020.12.01,2019.12.31,2000,2021.06.30,,,,전자단기사채
(주)동방,정기,A3-,A3-,2020.12.01,2020.12.01,2019.12.31,120,2021.06.30,,,,전자단기사채
HSD엔진(주),정기,B+,B+,2020.12.01,2020.12.01,2019.12.31,800,2021.06.30,,,,전자단기사채
미래에셋캐피탈(주),정기,A1,A1,2020.12.01,2020.12.01,2019.12.31,5000,2021.06.30,,,,전자단기사채
코리아오토글라스(주),수시,A1,취소,2020.12.01,2020.12.01,2019.12.31,1000,2021.06.30,,,,전자단기사채
한국자산관리공사,정기,A1,A1,2020.12.01,2020.12.01,2019.12.31,6000,2021.06.30,,,,전자단기사채
(주)케이비국민카드,정기,A1,A1,2020.11.30,2020.11.30,2019.12.31,21000,2021.06.30,,,,전자단기사채
대신증권(주),정기,A1,A1,2020.11.30,2020.11.30,2019.12.31,20000,2021.06.30,,,,전자단기사채
롯데카드(주),정기,A1,A1,2020.11.27,2020.11.30,2019.12.31,10000,2021.06.30,,,,전자단기사채
산은캐피탈(주),정기,A1,A1,2020.11.30,2020.11.30,2019.12.31,5000,2021.06.30,,,,전자단기사채
삼성증권(주),정기,A1,A1,2020.11.30,2020.11.30,2019.12.31,20000,2021.06.30,,,,전자단기사채
삼성카드(주),정기,A1,A1,2020.11.30,2020.11.30,2019.12.31,15000,2021.06.30,,,,전자단기사채
씨제이씨지브이(주),정기,A2,A2-,2020.11.27,2020.11.30,2019.12.31,1000,2021.06.30,,,,전자단기사채
하나카드(주),정기,A1,A1,2020.11.27,2020.11.30,2019.12.31,14000,2021.06.30,,,,전자단기사채
키움증권(주),정기,A1,A1,2020.11.25,2020.11.26,2019.12.31,30000,2021.06.30,,,,전자단기사채
한국투자증권(주),정기,A1,A1,2020.11.26,2020.11.26,2019.12.31,40000,2021.06.30,,,,전자단기사채
현대로템(주),정기,A3+,A3+,2020.11.26,2020.11.26,2019.12.31,5000,2021.06.30,,,,전자단기사채
현대캐피탈(주),정기,A1,A1,2020.11.26,2020.11.26,2019.12.31,20000,2021.06.30,,,,전자단기사채
(주)애큐온캐피탈,정기,A2,A2,2020.11.24,2020.11.25,2019.12.31,8500,2021.06.30,,,,전자단기사채
DB금융투자(주),수시,A2+,A1,2020.11.25,2020.11.25,2019.12.31,5000,2021.06.30,,,,전자단기사채
유안타증권(주),정기,A1,A1,2020.11.24,2020.11.25,2019.12.31,10000,2021.06.30,,,,전자단기사채
유진투자증권(주),정기,A2+,A2+,2020.11.24,2020.11.25,2019.12.31,4500,2021.06.30,,,,전자단기사채
(주)아이비케이캐피탈,정기,A1,A1,2020.11.24,2020.11.24,2019.12.31,15000,2021.06.30,,,,전자단기사채
아이비케이투자증권(주),정기,A1,A1,2020.11.24,2020.11.24,2019.12.31,5000,2021.06.30,,,,전자단기사채
메리츠캐피탈(주),정기,A2+,A2+,2020.11.23,2020.11.23,2019.12.31,4500,2021.06.30,,,,전자단기사채
케이비증권(주),정기,A1,A1,2020.11.20,2020.11.23,2019.12.31,30000,2021.06.30,,,,전자단기사채
한국동서발전(주),정기,A1,A1,2020.11.20,2020.11.20,2019.12.31,5000,2021.06.30,,,,전자단기사채
교보증권(주),정기,A1,A1,2020.11.19,2020.11.19,2019.12.31,7000,2021.06.30,,,,전자단기사채
